,name,x,y,cog,color,link
meta,start,0.08087696081270095,,,,
PP_0001,parB,147.0,0.0001006234895658,"Replication, recombination and repair",#00ff00,
PP_0002,parA,1029.0,0.0263100682602285,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
PP_0003,rsmG,1839.0,-0.0121333281150777,"Translation, ribosomal structure and biogenesis",#d2691e,
PP_0007,yidD,8156.0,-0.0071091212362352,Function unknown,#0000ff,
PP_0012,recF,12222.0,-0.0029144177974149,"Replication, recombination and repair",#00ff00,
PP_0014,PP_0014,17208.0,0.0021828732827616,"Replication, recombination and repair",#00ff00,
PP_0015,PP_0015,19163.0,0.0033204732650058,Function unknown,#0000ff,
PP_0016,PP_0016,20198.0,0.0004060560308358,Function unknown,#0000ff,
PP_0017,PP_0017,22171.0,0.0030403187535682,No COG annotation,#00bfbf,
PP_0020,PP_0020,24695.0,0.0028802173385256,No COG annotation,#00bfbf,
PP_0021,PP_0021,25881.0,-0.0076145591669341,No COG annotation,#00bfbf,
PP_0022,PP_0022,26989.0,-0.0119140987079282,No COG annotation,#00bfbf,
PP_0024,PP_0024,27850.0,-0.0074990839062501,Function unknown,#0000ff,
PP_0025,PP_0025,29990.0,-0.0140431346055168,No COG annotation,#00bfbf,
PP_0026,PP_0026,30431.0,-0.0035626319685369,Inorganic ion transport and metabolism,#8b4513,
PP_0027,PP_0027,31404.0,-0.0065268985066512,No COG annotation,#00bfbf,
PP_0028,PP_0028,31877.0,-0.0005897181040159,Function unknown,#0000ff,
PP_0029,czcR-I,32893.0,0.0056455149616422,Transcription,#daa520,
PP_0030,czrSA,33564.0,-0.0046017102388702,Signal transduction mechanisms,#000000,
PP_0031,PP_0031,35040.0,-0.0070407321493119,No COG annotation,#00bfbf,
PP_0033,PP_0033,36198.0,-0.0016420384177823,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0034,PP_0034,37646.0,0.0016645287569889,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0035,PP_0035,38595.0,-0.0281320603702189,Function unknown,#0000ff,
PP_0036,PP_0036,39272.0,-0.0027964826788448,Transcription,#daa520,
PP_0037,oprP,40469.0,-0.0001059061238044,Inorganic ion transport and metabolism,#8b4513,
PP_0039,PP_0039,42057.0,-0.007670770865164,No COG annotation,#00bfbf,
PP_0040,PP_0040,43210.0,0.005330805682976,No COG annotation,#00bfbf,
PP_0041,cadA-I,43527.0,0.0033946458647947,Inorganic ion transport and metabolism,#8b4513,
PP_0042,PP_0042,45727.0,0.0005105687328907,Function unknown,#0000ff,
PP_0043,czcA-I,46213.0,-0.0040268425925946,Inorganic ion transport and metabolism,#8b4513,
PP_0044,czcB-I,49399.0,0.0002667151603448,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0045,czcC-I,50718.0,-0.0031196304858468,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0046,opdT-I,52394.0,-0.0011929406483259,Function unknown,#0000ff,
PP_0047,czcR-II,54227.0,0.0002027454157542,Transcription,#daa520,
PP_0048,PP_0048,55019.0,-0.0149634005362771,No COG annotation,#00bfbf,
PP_0049,PP_0049,56161.0,0.0005961409978065,No COG annotation,#00bfbf,
PP_0050,PP_0050,58777.0,0.0008306145172372,Function unknown,#0000ff,
PP_0051,PP_0051,59316.0,-0.004963612381654,Transcription,#daa520,
PP_0052,PP_0052,60831.0,-0.0037666420802215,Function unknown,#0000ff,
PP_0053,PP_0053,61756.0,-0.003098164419616,Function unknown,#0000ff,
PP_0054,PP_0054,62982.0,0.0035857309599458,Function unknown,#0000ff,
PP_0055,PP_0055,63828.0,0.0008864809506198,Transcription,#daa520,
PP_0056,betA-I,64943.0,-0.0004180826740433,Amino acid transport and metabolism,#ff0000,
PP_0057,PP_0057,66693.0,-0.0052534287215869,Amino acid transport and metabolism,#ff0000,
PP_0058,PP_0058,68487.0,0.0012094527626976,Lipid transport and metabolism,#87cefa,
PP_0062,tag,72932.0,-0.0016821122729996,"Replication, recombination and repair",#00ff00,
PP_0063,PP_0063,73525.0,-0.004466823501462,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0064,PP_0064,74510.0,-0.0142215670482056,Cell motility,#da70d6,
PP_0065,trkA,74836.0,0.0022664237498815,Inorganic ion transport and metabolism,#8b4513,
