,name,x,y,cog,color,link
meta,start,0.3171661372247624,,,,
PP_0001,parB,147.0,-0.0182290851312012,"Replication, recombination and repair",#00ff00,
PP_0002,parA,1029.0,-0.0044568041481691,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
PP_0003,rsmG,1839.0,0.0217774538596743,"Translation, ribosomal structure and biogenesis",#d2691e,
PP_0007,yidD,8156.0,-0.0064775191226039,Function unknown,#0000ff,
PP_0012,recF,12222.0,-0.0041187195652332,"Replication, recombination and repair",#00ff00,
PP_0014,PP_0014,17208.0,0.0012909830272127,"Replication, recombination and repair",#00ff00,
PP_0015,PP_0015,19163.0,-0.0024527487998433,Function unknown,#0000ff,
PP_0016,PP_0016,20198.0,-0.0026332173019533,Function unknown,#0000ff,
PP_0017,PP_0017,22171.0,0.0032231360696834,No COG annotation,#00bfbf,
PP_0020,PP_0020,24695.0,-0.0018243365701996,No COG annotation,#00bfbf,
PP_0021,PP_0021,25881.0,0.0051241809927062,No COG annotation,#00bfbf,
PP_0022,PP_0022,26989.0,-0.0101300282955682,No COG annotation,#00bfbf,
PP_0024,PP_0024,27850.0,-0.0002868602115934,Function unknown,#0000ff,
PP_0025,PP_0025,29990.0,0.037427104236451,No COG annotation,#00bfbf,
PP_0026,PP_0026,30431.0,0.0006614534442414,Inorganic ion transport and metabolism,#8b4513,
PP_0027,PP_0027,31404.0,-0.0001090447494046,No COG annotation,#00bfbf,
PP_0028,PP_0028,31877.0,-0.0010884811434499,Function unknown,#0000ff,
PP_0029,czcR-I,32893.0,0.0059709080852964,Transcription,#daa520,
PP_0030,czrSA,33564.0,-0.0003229419797629,Signal transduction mechanisms,#000000,
PP_0031,PP_0031,35040.0,-0.0063283880814655,No COG annotation,#00bfbf,
PP_0033,PP_0033,36198.0,-0.0021487661616847,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0034,PP_0034,37646.0,-0.0063468968110611,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0035,PP_0035,38595.0,0.0044707551996197,Function unknown,#0000ff,
PP_0036,PP_0036,39272.0,-0.0032272898522508,Transcription,#daa520,
PP_0037,oprP,40469.0,-0.0013091383177922,Inorganic ion transport and metabolism,#8b4513,
PP_0039,PP_0039,42057.0,0.0019397707748841,No COG annotation,#00bfbf,
PP_0040,PP_0040,43210.0,0.0056309124660854,No COG annotation,#00bfbf,
PP_0041,cadA-I,43527.0,-0.0103580138792387,Inorganic ion transport and metabolism,#8b4513,
PP_0042,PP_0042,45727.0,0.0090219387402786,Function unknown,#0000ff,
PP_0043,czcA-I,46213.0,-0.0024315799438868,Inorganic ion transport and metabolism,#8b4513,
PP_0044,czcB-I,49399.0,-0.0005569868314322,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0045,czcC-I,50718.0,-0.0026252306417766,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0046,opdT-I,52394.0,0.0041405216165844,Function unknown,#0000ff,
PP_0047,czcR-II,54227.0,-0.0108273110172712,Transcription,#daa520,
PP_0048,PP_0048,55019.0,-0.0057485754138255,No COG annotation,#00bfbf,
PP_0049,PP_0049,56161.0,0.0004046783166502,No COG annotation,#00bfbf,
PP_0050,PP_0050,58777.0,0.0074752425026786,Function unknown,#0000ff,
PP_0051,PP_0051,59316.0,0.0024936464576879,Transcription,#daa520,
PP_0052,PP_0052,60831.0,-0.0067240523069496,Function unknown,#0000ff,
PP_0053,PP_0053,61756.0,-0.0013899924101787,Function unknown,#0000ff,
PP_0054,PP_0054,62982.0,-0.0072425608378839,Function unknown,#0000ff,
PP_0055,PP_0055,63828.0,-0.0009419699837894,Transcription,#daa520,
PP_0056,betA-I,64943.0,-0.0038597924413334,Amino acid transport and metabolism,#ff0000,
PP_0057,PP_0057,66693.0,0.0033794419663765,Amino acid transport and metabolism,#ff0000,
PP_0058,PP_0058,68487.0,-0.0002824881961507,Lipid transport and metabolism,#87cefa,
PP_0062,tag,72932.0,-0.0007857871610917,"Replication, recombination and repair",#00ff00,
PP_0063,PP_0063,73525.0,0.034097923321948,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0064,PP_0064,74510.0,0.0016090706009107,Cell motility,#da70d6,
PP_0065,trkA,74836.0,-0.0067058052848004,Inorganic ion transport and metabolism,#8b4513,
PP_0066,rsmB,76233.0,0.0211601100195116,"Translation, ribosomal structure and biogenesis",#d2691e,
PP_0069,PP_0069,79246.0,0.0014780215266706,"Replication, recombination and repair",#00ff00,
PP_0071,PP_0071,81691.0,-0.0015599872850027,No COG annotation,#00bfbf,
PP_0072,qor-I,82151.0,-0.0013858636141258,Energy production and conversion,#708090,
PP_0075,PP_0075,85152.0,-0.0006920676074451,Inorganic ion transport and metabolism,#8b4513,
PP_0076,PP_0076,86862.0,-0.0011342924473161,Amino acid transport and metabolism,#ff0000,
PP_0077,betC,87800.0,-0.0058854210515235,Inorganic ion transport and metabolism,#8b4513,
PP_0079,PP_0079,89426.0,0.0016296294724025,Transcription,#daa520,
PP_0080,PP_0080,90447.0,-0.0048917260354323,Function unknown,#0000ff,
PP_0081,PP_0081,91078.0,0.0118136312709759,"Secondary metabolites biosynthesis, transport, and catabolism",#f4a460,
PP_0083,trpB,92376.0,0.0030352502632955,Amino acid transport and metabolism,#ff0000,
