locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PrpR,link
PP_2794,0.2835319105454645,PP_2794,Oxidoreductase%2C short chain dehydrogenase/reductase family,Lipid transport and metabolism,Op1808,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2794&e1=1&assembly=complete
PP_2791,0.2685455356113648,PP_2791,Aminoglycoside phosphotransferase,Function unknown,Op1807,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2791&e1=1&assembly=complete
PP_2793,0.2569906544450389,PP_2793,Acyl-CoA dehydrogenase family protein,Energy production and conversion,Op1808,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2793&e1=1&assembly=complete
PP_3754,0.2466998786534946,bktB,Beta-ketothiolase BktB,Lipid transport and metabolism,Op2459,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3754&e1=1&assembly=complete
PP_2790,0.2126023730543041,PP_2790,Sigma-54 dependent sensory box protein,Transcription,Op1806,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2790&e1=1&assembly=complete
PP_3286,0.2003508815373929,paaX,DNA-binding transcriptional repressor PaaX(phenylacetyl-CoA),Transcription,Op2129,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3286&e1=1&assembly=complete
PP_3753,0.1773261528880868,PP_3753,Transcriptional regulator%2C AraC family,Transcription,Op2458,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3753&e1=1&assembly=complete
PP_2333,0.1722975901534537,PP_2333,GntR family transcriptional regulator,Transcription,Op1514,"PrpR,GnuR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2333&e1=1&assembly=complete
PP_2335,0.1638527233723158,prpC,methylcitrate synthase,Energy production and conversion,Op1514,"PrpR,GnuR,AmrZ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2335&e1=1&assembly=complete
PP_4628,0.1577006915150126,PP_4628,conserved protein of unknown function,Energy production and conversion,Op3014,"TurA,AmrZ",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4628&e1=1&assembly=complete
PP_2334,0.1503187346773308,mmgF,2-methylisocitrate lyase,Coenzyme transport and metabolism,Op1514,"PrpR,GnuR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2334&e1=1&assembly=complete
PP_3121,0.1487355821096689,PP_3121,transcriptional regulator%2C LysR family,Transcription,Op2028,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3121&e1=1&assembly=complete
PP_3123,0.1401096761742639,atoB,acetoacetyl CoA-transferase (subunit B),Lipid transport and metabolism,Op2029,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3123&e1=1&assembly=complete
PP_3755,0.1313225471786655,hbd,3-hydroxybutyryl-CoA dehydrogenase,Energy production and conversion,Op2459,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3755&e1=1&assembly=complete
PP_3122,0.1296397917097086,atoA,acetoacetyl CoA-transferase (subunit A),Lipid transport and metabolism,Op2029,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3122&e1=1&assembly=complete
PP_4008,0.0968287171433287,clpA,ATP-dependent serine protease,"Post-translational modification, protein turnover, and chaperones",Op2617,FleQ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4008&e1=1&assembly=complete
