,name,x,y,cog,color,link
meta,start,0.16166898821698295,,,,
PP_0001,parB,147.0,0.0013788055367659,"Replication, recombination and repair",#00ff00,
PP_0002,parA,1029.0,-0.0094344773592497,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
PP_0003,rsmG,1839.0,0.0169403339061777,"Translation, ribosomal structure and biogenesis",#d2691e,
PP_0007,yidD,8156.0,0.0341127356770354,Function unknown,#0000ff,
PP_0012,recF,12222.0,-0.0044134802069424,"Replication, recombination and repair",#00ff00,
PP_0014,PP_0014,17208.0,0.0006722121020621,"Replication, recombination and repair",#00ff00,
PP_0015,PP_0015,19163.0,0.0016556493996664,Function unknown,#0000ff,
PP_0016,PP_0016,20198.0,0.0099692730267952,Function unknown,#0000ff,
PP_0017,PP_0017,22171.0,0.0181225976975494,No COG annotation,#00bfbf,
PP_0020,PP_0020,24695.0,0.0214167314660573,No COG annotation,#00bfbf,
PP_0021,PP_0021,25881.0,0.0078182484384375,No COG annotation,#00bfbf,
PP_0022,PP_0022,26989.0,-0.0333568613148318,No COG annotation,#00bfbf,
PP_0024,PP_0024,27850.0,-0.0002591264749246,Function unknown,#0000ff,
PP_0025,PP_0025,29990.0,0.0079191810642837,No COG annotation,#00bfbf,
PP_0026,PP_0026,30431.0,-0.0038967102738978,Inorganic ion transport and metabolism,#8b4513,
PP_0027,PP_0027,31404.0,0.0020283601498467,No COG annotation,#00bfbf,
PP_0028,PP_0028,31877.0,-0.0063706139918307,Function unknown,#0000ff,
PP_0029,czcR-I,32893.0,0.0010336847013069,Transcription,#daa520,
PP_0030,czrSA,33564.0,-0.0043895129199143,Signal transduction mechanisms,#000000,
PP_0031,PP_0031,35040.0,-0.0016303527770147,No COG annotation,#00bfbf,
PP_0033,PP_0033,36198.0,-0.0012616421841886,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0034,PP_0034,37646.0,0.0004485338097684,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0035,PP_0035,38595.0,0.0262616529077951,Function unknown,#0000ff,
PP_0036,PP_0036,39272.0,0.0049016092600835,Transcription,#daa520,
PP_0037,oprP,40469.0,0.0027817335679169,Inorganic ion transport and metabolism,#8b4513,
PP_0039,PP_0039,42057.0,0.0052987109755322,No COG annotation,#00bfbf,
PP_0040,PP_0040,43210.0,0.0118489916110282,No COG annotation,#00bfbf,
PP_0041,cadA-I,43527.0,0.000731090629173,Inorganic ion transport and metabolism,#8b4513,
PP_0042,PP_0042,45727.0,-0.0140666559315146,Function unknown,#0000ff,
PP_0043,czcA-I,46213.0,-0.0023025944066708,Inorganic ion transport and metabolism,#8b4513,
PP_0044,czcB-I,49399.0,-0.0035439235198259,Cell wall/membrane/envelope biogenesis,#c71585,
