locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_5185,0.385799238381213,argA,acetylglutamate kinase-like protein (regulatory domain)/amino acid N-acetyltransferase,Amino acid transport and metabolism,Op3378,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5185&e1=1&assembly=complete
PP_1079,0.3724882939995491,argF,Ornithine carbamoyltransferase,Amino acid transport and metabolism,Op673,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1079&e1=1&assembly=complete
PP_1088,0.3595870758851062,argG,Argininosuccinate synthase,Nucleotide transport and metabolism,Op681,RoxR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1088&e1=1&assembly=complete
PP_5289,0.3341808652168063,argB,Acetylglutamate kinase,Nucleotide transport and metabolism,Op3461,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5289&e1=1&assembly=complete
PP_4483,-0.1129498283123054,hisP,histidine lysine / arginine / ornithine ABC transporter - ATP binding subunit,Amino acid transport and metabolism,Op2901,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4483&e1=1&assembly=complete
PP_4484,-0.1151139540222109,hisM,histidine / lysine / arginine / ornithine ABC transporter - permease subunit,Inorganic ion transport and metabolism,Op2901,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4484&e1=1&assembly=complete
PP_4486,-0.1239022294389848,argT,lysine / arginine / ornithine ABC transporter - periplasmic binding protein,Amino acid transport and metabolism,Op2901,CbrB,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4486&e1=1&assembly=complete
PP_4481,-0.132955320818076,astC,Succinylornithine transaminase/acetylornithine aminotransferase,Amino acid transport and metabolism,Op2900,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4481&e1=1&assembly=complete
PP_4475,-0.1339229360188768,astE,succinylglutamate desuccinylase,Amino acid transport and metabolism,Op2900,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4475&e1=1&assembly=complete
PP_4485,-0.1342449869297188,hisQ,histidine / lysine / arginine / ornithine ABC transporter - permease subunit,Inorganic ion transport and metabolism,Op2901,AmrZ,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4485&e1=1&assembly=complete
PP_4482,-0.1418825632119714,PP_4482,Transcriptional regulator%2C AraC family,Transcription,Op2901,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4482&e1=1&assembly=complete
PP_4479,-0.1568744568029176,astA-I,arginine N-succinyltransferase%2C subunit beta,Coenzyme transport and metabolism,Op2900,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4479&e1=1&assembly=complete
PP_4478,-0.2060303291719686,astD,N-succinylglutamate 5-semialdehyde dehydrogenase,Energy production and conversion,Op2900,GacA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4478&e1=1&assembly=complete
PP_4477,-0.2256577584219304,astB,N-succinylarginine dihydrolase,Amino acid transport and metabolism,Op2900,GacA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4477&e1=1&assembly=complete
