,name,x,y,cog,color,link
meta,start,0.11022111276984994,,,,
PP_0001,parB,147.0,-0.0009333760221579,"Replication, recombination and repair",#00ff00,
PP_0002,parA,1029.0,0.0042361197868631,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
PP_0003,rsmG,1839.0,0.0237700088484817,"Translation, ribosomal structure and biogenesis",#d2691e,
PP_0007,yidD,8156.0,-0.0357044577720306,Function unknown,#0000ff,
PP_0012,recF,12222.0,-0.0017622017546716,"Replication, recombination and repair",#00ff00,
PP_0014,PP_0014,17208.0,0.0031464709046129,"Replication, recombination and repair",#00ff00,
PP_0015,PP_0015,19163.0,0.0024299124905019,Function unknown,#0000ff,
PP_0016,PP_0016,20198.0,0.0011249302135144,Function unknown,#0000ff,
PP_0017,PP_0017,22171.0,-0.003402084576134,No COG annotation,#00bfbf,
PP_0020,PP_0020,24695.0,-0.0020048514741861,No COG annotation,#00bfbf,
PP_0021,PP_0021,25881.0,0.0055499602723337,No COG annotation,#00bfbf,
PP_0022,PP_0022,26989.0,-0.0035795064559484,No COG annotation,#00bfbf,
PP_0024,PP_0024,27850.0,-0.0019919760098035,Function unknown,#0000ff,
PP_0025,PP_0025,29990.0,0.1357082654310289,No COG annotation,#00bfbf,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0025&e1=1&assembly=complete
PP_0026,PP_0026,30431.0,0.0003916512408424,Inorganic ion transport and metabolism,#8b4513,
PP_0027,PP_0027,31404.0,0.0029246862783231,No COG annotation,#00bfbf,
PP_0028,PP_0028,31877.0,-0.0082003660305072,Function unknown,#0000ff,
PP_0029,czcR-I,32893.0,0.003800559543235,Transcription,#daa520,
PP_0030,czrSA,33564.0,0.0024431989348747,Signal transduction mechanisms,#000000,
PP_0031,PP_0031,35040.0,-0.0072135386888364,No COG annotation,#00bfbf,
PP_0033,PP_0033,36198.0,0.0014739639495994,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0034,PP_0034,37646.0,0.0019088453980488,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0035,PP_0035,38595.0,-0.0391321414168985,Function unknown,#0000ff,
PP_0036,PP_0036,39272.0,0.004478798172229,Transcription,#daa520,
PP_0037,oprP,40469.0,0.0016882204599052,Inorganic ion transport and metabolism,#8b4513,
PP_0039,PP_0039,42057.0,-0.0013940280065389,No COG annotation,#00bfbf,
PP_0040,PP_0040,43210.0,0.0047875784060358,No COG annotation,#00bfbf,
PP_0041,cadA-I,43527.0,0.0026868278802873,Inorganic ion transport and metabolism,#8b4513,
PP_0042,PP_0042,45727.0,-0.0091032030342652,Function unknown,#0000ff,
PP_0043,czcA-I,46213.0,-0.0046932863869187,Inorganic ion transport and metabolism,#8b4513,
PP_0044,czcB-I,49399.0,-0.0035384493443496,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0045,czcC-I,50718.0,0.0007091812603436,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0046,opdT-I,52394.0,0.0026831841513228,Function unknown,#0000ff,
PP_0047,czcR-II,54227.0,0.0051113521115481,Transcription,#daa520,
PP_0048,PP_0048,55019.0,0.1126045504983487,No COG annotation,#00bfbf,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0048&e1=1&assembly=complete
PP_0049,PP_0049,56161.0,-0.0022396511493422,No COG annotation,#00bfbf,
PP_0050,PP_0050,58777.0,-0.0058515600301547,Function unknown,#0000ff,
PP_0051,PP_0051,59316.0,0.0044499171805392,Transcription,#daa520,
PP_0052,PP_0052,60831.0,0.0040052659285682,Function unknown,#0000ff,
PP_0053,PP_0053,61756.0,0.0026009143176793,Function unknown,#0000ff,
PP_0054,PP_0054,62982.0,0.0124019055588302,Function unknown,#0000ff,
PP_0055,PP_0055,63828.0,-0.0176555358691196,Transcription,#daa520,
PP_0056,betA-I,64943.0,-0.000414749481417,Amino acid transport and metabolism,#ff0000,
PP_0057,PP_0057,66693.0,-0.0027426878062194,Amino acid transport and metabolism,#ff0000,
PP_0058,PP_0058,68487.0,0.0011325781419989,Lipid transport and metabolism,#87cefa,
PP_0062,tag,72932.0,0.0154575339723002,"Replication, recombination and repair",#00ff00,
PP_0063,PP_0063,73525.0,-0.0103176772085264,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0064,PP_0064,74510.0,-0.0101836598740638,Cell motility,#da70d6,
PP_0065,trkA,74836.0,-0.0033830683892564,Inorganic ion transport and metabolism,#8b4513,
PP_0066,rsmB,76233.0,0.0097301557754933,"Translation, ribosomal structure and biogenesis",#d2691e,
PP_0069,PP_0069,79246.0,0.0002026002109295,"Replication, recombination and repair",#00ff00,
PP_0071,PP_0071,81691.0,-0.0157129654302407,No COG annotation,#00bfbf,
PP_0072,qor-I,82151.0,0.0014574945211612,Energy production and conversion,#708090,
PP_0075,PP_0075,85152.0,-0.0080921769085496,Inorganic ion transport and metabolism,#8b4513,
PP_0076,PP_0076,86862.0,-0.0086519461770728,Amino acid transport and metabolism,#ff0000,
PP_0077,betC,87800.0,-0.0024465728452047,Inorganic ion transport and metabolism,#8b4513,
PP_0079,PP_0079,89426.0,-0.008028376059239,Transcription,#daa520,
PP_0080,PP_0080,90447.0,-0.0120728379784452,Function unknown,#0000ff,
PP_0081,PP_0081,91078.0,0.031984443006898,"Secondary metabolites biosynthesis, transport, and catabolism",#f4a460,
PP_0083,trpB,92376.0,-0.0041093638659967,Amino acid transport and metabolism,#ff0000,
PP_0084,trpI,93704.0,-0.0041280841719534,Transcription,#daa520,
PP_0085,PP_0085,94597.0,0.0006093963624146,Function unknown,#0000ff,
PP_0086,PP_0086,95071.0,-0.035919698569288,Function unknown,#0000ff,
PP_0087,PP_0087,95345.0,0.0114798188707315,Function unknown,#0000ff,
PP_0088,PP_0088,95680.0,-0.0034868971188388,Energy production and conversion,#708090,
PP_0089,osmC,96837.0,0.0067900824436155,"Post-translational modification, protein turnover, and chaperones",#ff00ff,
PP_0090,PP_0090,97275.0,-0.0003895422321527,Function unknown,#0000ff,
PP_0091,PP_0091,97607.0,0.0019492890979488,No COG annotation,#00bfbf,
PP_0092,PP_0092,98076.0,0.0581709783350353,No COG annotation,#00bfbf,
PP_0093,PP_0093,98575.0,-0.005291621834608,Function unknown,#0000ff,
PP_0094,PP_0094,99758.0,-0.0115433437721378,Function unknown,#0000ff,
PP_0095,yrdA,100530.0,-0.0097237192150733,Function unknown,#0000ff,
PP_0096,prlC,101181.0,-0.0019459339144989,Amino acid transport and metabolism,#ff0000,
PP_0099,PP_0099,103842.0,-0.0096169742737923,"Replication, recombination and repair",#00ff00,
PP_0101,PP_0101,106134.0,-0.0028633630801104,Inorganic ion transport and metabolism,#8b4513,
PP_0103,PP_0103,108810.0,0.0017449211673908,Energy production and conversion,#708090,
PP_0104,ctaD,109981.0,0.0027222499801452,Energy production and conversion,#708090,
