locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PP_3603,link
PP_1167,0.2629597056449632,PP_1167,putative TRAP dicarboxylate transporter%2C DctM subunit,Carbohydrate transport and metabolism,Op739,"PP_3603,PP_4759",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1167&e1=1&assembly=complete
PP_3599,0.2629439766841426,kdgD,5-dehydro-4-deoxyglucarate dehydratase,Amino acid transport and metabolism,Op2338,"PP_3603,PP_4759",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3599&e1=1&assembly=complete
PP_1171,0.2573156695332259,udh,uronate dehydrogenase,Cell wall/membrane/envelope biogenesis,Op740,"PP_3603,PP_4759",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1171&e1=1&assembly=complete
PP_1169,0.2557668355353988,dctP,TRAP dicarboxylate transporter%2C DctP subunit,Carbohydrate transport and metabolism,Op739,"PP_3603,PP_4759",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1169&e1=1&assembly=complete
PP_1170,0.2436987858173833,gnl,Gluconolactonase,Carbohydrate transport and metabolism,Op740,"PP_3603,PP_4759",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1170&e1=1&assembly=complete
PP_3601,0.2393057366206912,garD,galactarate dehydratase,Carbohydrate transport and metabolism,Op2339,"PP_3603,PP_4759",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3601&e1=1&assembly=complete
PP_1168,0.226890295825217,PP_1168,putative TRAP dicarboxylate transporter%2C DctQ subunit,Carbohydrate transport and metabolism,Op739,"PP_3603,PP_4759",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1168&e1=1&assembly=complete
PP_1165,0.1845839736659215,PP_1165,conserved protein of unknown function,Carbohydrate transport and metabolism,Op738,"PP_3603,PP_4759",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1165&e1=1&assembly=complete
PP_5322,0.1559623104184958,PP_5322,putative metal ion transporter,Inorganic ion transport and metabolism,Op3484,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5322&e1=1&assembly=complete
PP_3600,0.1388707760083395,gudP,glucarate transporter,Carbohydrate transport and metabolism,Op2339,"PP_3603,PP_4759",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3600&e1=1&assembly=complete
PP_0435,0.0995340518526983,PP_0435,Peptidase%2C M23/M37 family,Cell wall/membrane/envelope biogenesis,Op294,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0435&e1=1&assembly=complete
