,name,x,y,cog,color,link
meta,start,0.0539417494901313,,,,
PP_0001,parB,147.0,0.0116296124606223,"Replication, recombination and repair",#00ff00,
PP_0002,parA,1029.0,0.0005627841441782,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
PP_0003,rsmG,1839.0,0.0025828835512224,"Translation, ribosomal structure and biogenesis",#d2691e,
PP_0007,yidD,8156.0,-0.0028342556882231,Function unknown,#0000ff,
PP_0012,recF,12222.0,-0.0057720996864385,"Replication, recombination and repair",#00ff00,
PP_0014,PP_0014,17208.0,0.0006660423625916,"Replication, recombination and repair",#00ff00,
PP_0015,PP_0015,19163.0,-0.0009792322235034,Function unknown,#0000ff,
PP_0016,PP_0016,20198.0,-5.871455315430021e-05,Function unknown,#0000ff,
PP_0017,PP_0017,22171.0,-0.0007353518335815,No COG annotation,#00bfbf,
PP_0020,PP_0020,24695.0,-0.0017586397033585,No COG annotation,#00bfbf,
PP_0021,PP_0021,25881.0,0.0012894710871035,No COG annotation,#00bfbf,
PP_0022,PP_0022,26989.0,-0.0149318432244877,No COG annotation,#00bfbf,
PP_0024,PP_0024,27850.0,0.0020407087544567,Function unknown,#0000ff,
PP_0025,PP_0025,29990.0,-0.0010120171647763,No COG annotation,#00bfbf,
PP_0026,PP_0026,30431.0,-0.0004923345255905,Inorganic ion transport and metabolism,#8b4513,
PP_0027,PP_0027,31404.0,-0.0007924623972762,No COG annotation,#00bfbf,
PP_0028,PP_0028,31877.0,0.0028134368954837,Function unknown,#0000ff,
PP_0029,czcR-I,32893.0,0.0034860594859005,Transcription,#daa520,
PP_0030,czrSA,33564.0,0.0022677480841746,Signal transduction mechanisms,#000000,
PP_0031,PP_0031,35040.0,0.0044439973390412,No COG annotation,#00bfbf,
PP_0033,PP_0033,36198.0,-0.0013191414172565,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0034,PP_0034,37646.0,4.895507375427377e-05,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0035,PP_0035,38595.0,-0.0065168022581251,Function unknown,#0000ff,
PP_0036,PP_0036,39272.0,-0.0001844341907653,Transcription,#daa520,
PP_0037,oprP,40469.0,0.0010583064665271,Inorganic ion transport and metabolism,#8b4513,
PP_0039,PP_0039,42057.0,-0.0025668341115979,No COG annotation,#00bfbf,
PP_0040,PP_0040,43210.0,-0.0012624079782631,No COG annotation,#00bfbf,
PP_0041,cadA-I,43527.0,0.0025160936657885,Inorganic ion transport and metabolism,#8b4513,
PP_0042,PP_0042,45727.0,0.00229876608629,Function unknown,#0000ff,
PP_0043,czcA-I,46213.0,0.0013169755955519,Inorganic ion transport and metabolism,#8b4513,
PP_0044,czcB-I,49399.0,0.0014692096336499,Cell wall/membrane/envelope biogenesis,#c71585,
