,name,x,y,cog,color,link
meta,start,0.101605182044198,,,,
PP_0001,parB,147.0,-0.0015691518904902,"Replication, recombination and repair",#00ff00,
PP_0002,parA,1029.0,0.0178126061044358,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
PP_0003,rsmG,1839.0,0.0036776472784527,"Translation, ribosomal structure and biogenesis",#d2691e,
PP_0007,yidD,8156.0,-0.006833767872045,Function unknown,#0000ff,
PP_0012,recF,12222.0,0.0054367422655365,"Replication, recombination and repair",#00ff00,
PP_0014,PP_0014,17208.0,-0.0041412194232436,"Replication, recombination and repair",#00ff00,
PP_0015,PP_0015,19163.0,-0.0016480066480003,Function unknown,#0000ff,
PP_0016,PP_0016,20198.0,-0.0008578601139865,Function unknown,#0000ff,
PP_0017,PP_0017,22171.0,-0.005367116992633,No COG annotation,#00bfbf,
PP_0020,PP_0020,24695.0,-0.0074087438916601,No COG annotation,#00bfbf,
PP_0021,PP_0021,25881.0,0.0010974729687808,No COG annotation,#00bfbf,
PP_0022,PP_0022,26989.0,-0.0144871226388157,No COG annotation,#00bfbf,
PP_0024,PP_0024,27850.0,0.0012801274235445,Function unknown,#0000ff,
PP_0025,PP_0025,29990.0,-0.0035651624642319,No COG annotation,#00bfbf,
PP_0026,PP_0026,30431.0,0.0031651415293868,Inorganic ion transport and metabolism,#8b4513,
PP_0027,PP_0027,31404.0,0.0082961052809392,No COG annotation,#00bfbf,
PP_0028,PP_0028,31877.0,0.0021198868224831,Function unknown,#0000ff,
PP_0029,czcR-I,32893.0,0.0041327538077886,Transcription,#daa520,
PP_0030,czrSA,33564.0,0.000529219371505,Signal transduction mechanisms,#000000,
PP_0031,PP_0031,35040.0,-0.0026149502580302,No COG annotation,#00bfbf,
PP_0033,PP_0033,36198.0,-0.0027637331701968,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0034,PP_0034,37646.0,-0.0010443531037258,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0035,PP_0035,38595.0,-0.0070352060738808,Function unknown,#0000ff,
PP_0036,PP_0036,39272.0,0.0005614854921185,Transcription,#daa520,
PP_0037,oprP,40469.0,0.0004266585049344,Inorganic ion transport and metabolism,#8b4513,
PP_0039,PP_0039,42057.0,0.0063371814842878,No COG annotation,#00bfbf,
PP_0040,PP_0040,43210.0,0.0012067531361688,No COG annotation,#00bfbf,
PP_0041,cadA-I,43527.0,0.0015749369121637,Inorganic ion transport and metabolism,#8b4513,
PP_0042,PP_0042,45727.0,-0.0031914581919447,Function unknown,#0000ff,
PP_0043,czcA-I,46213.0,-0.0001579145719797,Inorganic ion transport and metabolism,#8b4513,
PP_0044,czcB-I,49399.0,-0.0026542036879879,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0045,czcC-I,50718.0,-0.0026375341493473,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0046,opdT-I,52394.0,-0.0027324197674303,Function unknown,#0000ff,
PP_0047,czcR-II,54227.0,0.0008729116696206,Transcription,#daa520,
PP_0048,PP_0048,55019.0,0.0027115855536312,No COG annotation,#00bfbf,
PP_0049,PP_0049,56161.0,0.0029229326177386,No COG annotation,#00bfbf,
PP_0050,PP_0050,58777.0,0.0016234098280632,Function unknown,#0000ff,
PP_0051,PP_0051,59316.0,0.0015666238308037,Transcription,#daa520,
PP_0052,PP_0052,60831.0,0.0035199851219346,Function unknown,#0000ff,
PP_0053,PP_0053,61756.0,-2.755990783482046e-05,Function unknown,#0000ff,
PP_0054,PP_0054,62982.0,-0.0036838012343245,Function unknown,#0000ff,
PP_0055,PP_0055,63828.0,0.0138780543068082,Transcription,#daa520,
PP_0056,betA-I,64943.0,0.0235675330655577,Amino acid transport and metabolism,#ff0000,
PP_0057,PP_0057,66693.0,0.0163657687171594,Amino acid transport and metabolism,#ff0000,
PP_0058,PP_0058,68487.0,0.0062256815466951,Lipid transport and metabolism,#87cefa,
PP_0062,tag,72932.0,-0.0078949794947851,"Replication, recombination and repair",#00ff00,
PP_0063,PP_0063,73525.0,0.0042189564702405,Cell wall/membrane/envelope biogenesis,#c71585,
PP_0064,PP_0064,74510.0,0.0069103540322685,Cell motility,#da70d6,
PP_0065,trkA,74836.0,-0.0037929992515175,Inorganic ion transport and metabolism,#8b4513,
PP_0066,rsmB,76233.0,-0.0022974982619461,"Translation, ribosomal structure and biogenesis",#d2691e,
PP_0069,PP_0069,79246.0,0.0044064183388652,"Replication, recombination and repair",#00ff00,
PP_0071,PP_0071,81691.0,-0.0003285952235958,No COG annotation,#00bfbf,
PP_0072,qor-I,82151.0,0.0031188603313245,Energy production and conversion,#708090,
PP_0075,PP_0075,85152.0,-0.001357172478867,Inorganic ion transport and metabolism,#8b4513,
PP_0076,PP_0076,86862.0,-0.0017090580691994,Amino acid transport and metabolism,#ff0000,
PP_0077,betC,87800.0,-0.0004950803803756,Inorganic ion transport and metabolism,#8b4513,
PP_0079,PP_0079,89426.0,0.0042233532728677,Transcription,#daa520,
PP_0080,PP_0080,90447.0,-0.0004117182901139,Function unknown,#0000ff,
PP_0081,PP_0081,91078.0,-0.008711474771001,"Secondary metabolites biosynthesis, transport, and catabolism",#f4a460,
PP_0083,trpB,92376.0,0.0297874823997346,Amino acid transport and metabolism,#ff0000,
PP_0084,trpI,93704.0,0.0026134133739187,Transcription,#daa520,
PP_0085,PP_0085,94597.0,0.0015954937225418,Function unknown,#0000ff,
PP_0086,PP_0086,95071.0,-0.0095004538261106,Function unknown,#0000ff,
PP_0087,PP_0087,95345.0,0.0071458741930145,Function unknown,#0000ff,
PP_0088,PP_0088,95680.0,-0.0019254824788731,Energy production and conversion,#708090,
PP_0089,osmC,96837.0,0.0016584266617796,"Post-translational modification, protein turnover, and chaperones",#ff00ff,
PP_0090,PP_0090,97275.0,0.0005329909033854,Function unknown,#0000ff,
PP_0091,PP_0091,97607.0,0.00440776508555,No COG annotation,#00bfbf,
PP_0092,PP_0092,98076.0,0.0050290009106655,No COG annotation,#00bfbf,
PP_0093,PP_0093,98575.0,0.0003232628276747,Function unknown,#0000ff,
PP_0094,PP_0094,99758.0,0.0096037673774313,Function unknown,#0000ff,
PP_0095,yrdA,100530.0,0.0009927538499789,Function unknown,#0000ff,
PP_0096,prlC,101181.0,-0.0061383685353138,Amino acid transport and metabolism,#ff0000,
PP_0099,PP_0099,103842.0,-7.449675528848978e-05,"Replication, recombination and repair",#00ff00,
